10,A method for aquifer identification in petroleum reservoirs: A case study of Puerto Ceiba oilfield,A. Cosultchi;L. Sheremetov;J. Velasco-Hernandez;I. Batyrshin,Journal of Petroleum Science and Engineering,"The paper describes an efficient multi-stage data-driven method for aquifer and water influx pattern classification. It is based on statistical multivariate analysis techniques, Principal Components Analysis and Cluster Analysis. The main advantage of the proposed method is the integration of the analysis of static (water and oil properties) and dynamic (production series) data in order to understand the water-related behavior of the oilfield. For oilfield aquifers classification, oil and water physicochemical properties are used. Water influx pattern classification consists of three steps. Firstly, single-well production data analysis techniques are applied: (1) conventional decline curve analysis; and (2) a novel water-cut curve analysis with a logistic growth equation. Secondly, the obtained parameters are employed for the statistical multivariate analysis of the field. Finally, logistic-type equation parameters are used for qualitative identification of velocity of water entrance, water amount and first date of water entrance. The proposed method is discussed and illustrated using Puerto Ceiba case study. The work is a step forward towards the introduction of data-driven approaches in the engineering practices of water control."
11,A multi‐MHz single‐shot data acquisition scheme with high dynamic range: pump–probe X‐ray experiments at synchrotrons,A. Britz;T. Assefa;A. Galler;W. Gawelda;M. Diez;P. Zalden;D. Khakhulin;B. Fernandes;P. Gessler;H. Namin;A. Beckmann;M. Harder;H. Yavaş;C. Bressler,Journal of Synchrotron Radiation,"The technical implementation of a multi‐MHz data acquisition scheme for laser–X‐ray pump–probe experiments with pulse limited temporal resolution (100 ps) is presented. Such techniques are very attractive to benefit from the high‐repetition rates of X‐ray pulses delivered from advanced synchrotron radiation sources. Exploiting a synchronized 3.9 MHz laser excitation source, experiments in 60‐bunch mode (7.8 MHz) at beamline P01 of the PETRA III storage ring are performed. Hereby molecular systems in liquid solutions are excited by the pulsed laser source and the total X‐ray fluorescence yield (TFY) from the sample is recorded using silicon avalanche photodiode detectors (APDs). The subsequent digitizer card samples the APD signal traces in 0.5 ns steps with 12‐bit resolution. These traces are then processed to deliver an integrated value for each recorded single X‐ray pulse intensity and sorted into bins according to whether the laser excited the sample or not. For each subgroup the recorded single‐shot values are averaged over ∼107 pulses to deliver a mean TFY value with its standard error for each data point, e.g. at a given X‐ray probe energy. The sensitivity reaches down to the shot‐noise limit, and signal‐to‐noise ratios approaching 1000 are achievable in only a few seconds collection time per data point. The dynamic range covers 100 photons pulse−1 and is only technically limited by the utilized APD."
12,A new set of correlations for EHD enhanced condensation heat transfer of tubular systems,A. Al-Ahmadi;R. Al-Dadah,Applied Thermal Engineering,"An improved set of correlations for evaluating the heat transfer coefficient of EHD assisted condensation heat transfer for tubular systems is presented in this paper. The correlations were developed by curve fitting a wide range of experimental data and then optimising the empirical constants so that the percentage deviation is less than ±30%. The experimental data was classified in four categories: (I) condensation outside horizontal smooth tubes, (II) condensation inside horizontal smooth tubes, (III) condensation outside vertical tubes and (IV) condensation inside vertical tubes. The experimental data in each category included results obtained using various refrigerants and various electrode systems. The improved correlations were used to predict a total of 166 experimental data points.A comprehensive literature review of all available correlations for EHD assisted condensation heat transfer is also described in this paper. Two correlations that were identified to be simple were used to predict the above-mentioned data bank. These are the correlations of Choi and Reynolds and Didkovesky and Bologa. The Choi and Reynolds correlation was found to successfully predict heat transfer rates of condensation outside horizontal and vertical tubes and of condensation inside vertical tubes when high intensity electric field is applied. However, the Didkovesky and Bologa correlation was found to successfully predict only the results of condensation heat transfer outside vertical surfaces."
13,A probabilistic multidimensional approach to quantify large wood recruitment from hillslopes in mountainous-forested catchments,A. Cislaghi;E. Rigon;M. Lenzi;G. Bischetti,Geomorphology,"Large wood (LW) plays a key role in physical, chemical, environmental, and biological processes in most natural and seminatural streams. However, it is also a source of hydraulic hazard in anthropised territories. Recruitment from fluvial processes has been the subject of many studies, whereas less attention has been given to hillslope recruitment, which is linked to episodic and spatially distributed events and requires a reliable and accurate slope stability model and a hillslope-channel transfer model.The purpose of this study is to develop an innovative LW hillslope-recruitment estimation approach that combines forest stand characteristics in a spatially distributed form, a probabilistic multidimensional slope stability model able to include the reinforcement exerted by roots, and a hillslope-channel transfer procedure. The approach was tested on a small mountain headwater catchment in the eastern Italian Alps that is prone to shallow landslide and debris flow phenomena. The slope stability model (that had not been calibrated) provided accurate performances, in terms of unstable areas identification according to the landslide inventory (AUC = 0.832) and of LW volume estimation in comparison with LW volume produced by inventoried landslides (7702 m3 corresponding to a recurrence time of about 30 years in the susceptibility curve). The results showed that most LW potentially mobilised by landslides does not reach the channel network (only about 16%), in agreement with the few data reported by other studies, as well as the data normalized for unit length of channel and unit length of channel per year (0–116 m3/km and 0–4 m3/km y−1).This study represents an important contribution to LW research. A rigorous and site-specific estimation of LW hillslope recruitment should, in fact, be an integral part of more general studies on LW dynamics, for forest planning and management, and positioning in-channel wood retention structures.Including forest stand characteristics into slope stability analysis.Modelling Large Wood recruited by hillslopes in mountainous catchments.Relating Large Wood recruitment volume and probability of occurrence.Large wood (LW) plays a key role in physical, chemical, environmental, and biological processes in most natural and seminatural streams. However, it is also a source of hydraulic hazard in anthropised territories. Recruitment from fluvial processes has been the subject of many studies, whereas less attention has been given to hillslope recruitment, which is linked to episodic and spatially distributed events and requires a reliable and accurate slope stability model and a hillslope-channel transfer model.The purpose of this study is to develop an innovative LW hillslope-recruitment estimation approach that combines forest stand characteristics in a spatially distributed form, a probabilistic multidimensional slope stability model able to include the reinforcement exerted by roots, and a hillslope-channel transfer procedure. The approach was tested on a small mountain headwater catchment in the eastern Italian Alps that is prone to shallow landslide and debris flow phenomena. The slope stability model (that had not been calibrated) provided accurate performances, in terms of unstable areas identification according to the landslide inventory (AUC = 0.832) and of LW volume estimation in comparison with LW volume produced by inventoried landslides (7702 m3 corresponding to a recurrence time of about 30 years in the susceptibility curve). The results showed that most LW potentially mobilised by landslides does not reach the channel network (only about 16%), in agreement with the few data reported by other studies, as well as the data normalized for unit length of channel and unit length of channel per year (0–116 m3/km and 0–4 m3/km y−1).This study represents an important contribution to LW research. A rigorous and site-specific estimation of LW hillslope recruitment should, in fact, be an integral part of more general studies on LW dynamics, for forest planning and management, and positioning in-channel wood retention structures."
14,"A proposal for new bibliographic tools for psychologists: Proposed solutions, immediate and distant.",A. Bodin,Journal of Counseling Psychology,"The author identifies trends in psychological bibliographic work and the problems they present. A sample bibliography is provided to illustrate these trends. Solutions are proposed, including a unified APA-sponsored Guide to Psychology Books which would gather under one cover a comprehensive collection of usefully arranged book titles, the development of a field for a new type of searching and indexing specialist who combines training in psychology and library science, bringing psychology's literature under bibliographic control by building on the existing technical and administrative machinery and experience of Psychological Abstracts. 19 ref.)"
15,A public health framework for the regulation of marketing,A. Biglan;M. Ryzin;E. Westling,Journal of Public Health Policy,"Cross-sectional, longitudinal, and experimental studies have found a link between youth exposure to cigarette marketing and youth initiation of smoking. These decisive research findings led to regulations of cigarette marketing to youth—including no television or radio ads, prohibitions on the use of cartoons, bans on transit and billboard advertisements, and disallowing tobacco brand sponsorships of sporting events or concerts. Similar products that may cause more harm than benefits include alcohol, electronic cigarettes, and opioids. We review the evidence linking problematic use of these products with exposure to marketing and discuss standards for assessing the potential harmfulness of marketing. We next address how public health agencies might apply regulatory principles to these harmful products similar to those applied to cigarette advertising, in the advancement of public health."
16,A randomised controlled trial of a community intervention to prevent adolescent tobacco use,A. Biglan;D. Ary;K. Smolkowski;T. Duncan;C. Black,Tobacco Control,"OBJECTIVE Experimental evaluation of comprehensive community wide programme to prevent adolescent tobacco use.DESIGN Eight pairs of small Oregon communities (population 1700 to 13 500) were randomly assigned to receive a school based prevention programme or the school based programme plus a community programme. Effects were assessed through five annual surveys (time 1–5) of seventh and ninth grade (ages 12–15 years) students.INTERVENTION The community programme included: (a) media advocacy, (b) youth anti-tobacco activities, (c) family communications about tobacco use, and (d) reduction of youth access to tobacco.MAIN OUTCOME MEASURE The prevalence of self reported smoking and smokeless tobacco use in the week before assessment.RESULTS The community programme had significant effects on the prevalence of weekly cigarette use at times 2 and 5 and the effect approached significance at time 4. An effect on the slope of prevalence across time points was evident only when time 2 data points were eliminated from the analysis. The intervention affected the prevalence of smokeless tobacco among grade 9 boys at time 2. There were also significant effects on the slope of alcohol use among ninth graders and the quadratic slope of marijuana for all students.CONCLUSION The results suggest that comprehensive community wide interventions can improve on the preventive effect of school based tobacco prevention programmes and that effective tobacco prevention may prevent other substance use."
17,A randomized controlled trial: branched‐chain amino acid levels and glucose metabolism in patients with obesity and sleep apnea,A. Barceló;D. Morell‐Garcia;N. Salord;C. Esquinas;G. Pérez;A. Pérez;C. Monasterio;M. Gasa;A. Fortuna;J. Montserrat;M. Mayos,Journal of Sleep Research,"Summary There is evidence that changes in branched‐chain amino acid (BCAA) levels may correlate with the efficacy of therapeutic interventions for affecting improvement in metabolic control. The objective of this study was to evaluate whether serum concentrations of BCAAs (leucine, isoleucine, valine) could mediate in insulin sensitivity and glucose tolerance after continuous positive airway pressure (CPAP) treatment in patients with obstructive sleep apnea (OSA). A prospective randomized controlled trial of OSA patients with morbid obesity was conducted. Eighty patients were randomized into two groups: 38 received conservative treatment and 42 received CPAP treatment for 12 weeks. Plasma levels of BCAA, glucose tolerance and insulin resistance were evaluated at baseline and after treatment. After treatment, significant decreases of leucine levels were observed in both groups when compared with baseline levels (P < 0.005). With respect to patients with normal glucose tolerance (NGT), patients with impaired glucose tolerance (IGT) had higher baseline levels of isoleucine (78 ± 16 versus 70 ± 13 μmol L−1, P = 0.014) and valine (286 ± 36 versus 268 ± 41 μmol L−1, P = 0.049), respectively. Changes in levels of leucine and isoleucine after treatment were related negatively to changes in fasting plasma glucose and glycosylated haemoglobin values only in the conservative group (P < 0.05). In summary, we found that the treatment with CPAP for 12 weeks caused similar changes in circulating BCAAs concentrations to conservative treatment and a differential metabolic response of CPAP and conservative treatment was observed between the relationship of BCAAs and glucose homeostasis. Additional studies are needed to determine the interplay between branched‐chain amino acids and glucose metabolism in patients with sleep apnea."
18,A stigmergy-based analysis of city hotspots to discover trends and anomalies in urban transportation usage,A. Alfeo;M. Cimino;S. Egidi;B. Lepri;G. Vaglini,ArXiv Computer Science,"A key aspect of a sustainable urban transportation system is theeffectiveness of transportation policies. To be effective, a policy has toconsider a broad range of elements, such as pollution emission, traffic flow,and human mobility. Due to the complexity and variability of these elements inthe urban area, to produce effective policies remains a very challenging task.With the introduction of the smart city paradigm, a widely available amount ofdata can be generated in the urban spaces. Such data can be a fundamentalsource of knowledge to improve policies because they can reflect thesustainability issues underlying the city. In this context, we propose anapproach to exploit urban positioning data based on stigmergy, a bio-inspiredmechanism providing scalar and temporal aggregation of samples. By employingstigmergy, samples in proximity with each other are aggregated into afunctional structure called trail. The trail summarizes relevant dynamics indata and allows matching them, providing a measure of their similarity.Moreover, this mechanism can be specialized to unfold specific dynamics.Specifically, we identify high-density urban areas (i.e hotspots), analyzetheir activity over time, and unfold anomalies. Moreover, by matching activitypatterns, a continuous measure of the dissimilarity with respect to the typicalactivity pattern is provided. This measure can be used by policy makers toevaluate the effect of policies and change them dynamically. As a case study,we analyze taxi trip data gathered in Manhattan from 2013 to 2015."
19,A year of opportunity in the Middle East,A. Benn,Washington Quarterly,"Can three elected, politically ambitious leaders navigate their way toward peace? Amid regional optimism, the recent history of the collapse of the Oslo accords and the consequent intifada should teach today's peacemakers several important lessons."
20,Achievement in science and intellectual style.,A. Cropley;T. Field,Journal of Applied Psychology,"Some clever high school Ss are academically successful, but others with equally high IQs are not. Thus, it is possible that achievement involves cognitive variables other than simply level of intellect (IQ). Ss were 178 15.8-18.7 yr. olds. Science achievement was shown to be related to several such variables including abstract thinking, originality, and category width. Findings support the importance of intellectual style in achievement. Large sex differences were also obtained. Better understanding of the role of style in classroom performance would be particularly useful in view of the current desire to identify talent early and to foster its realization. (20 ref.)"
21,Adsorption of Crude Oil on Na+-Montmorillonite,A. Cosultchi;I. Cordova;M. Valenzuela;D. Acosta;P. Bosch;V. Lara,Energy & Fuels,"The interaction between a natural Na+-montmorillonite and a crude oil sample containing 2.5 wt % of asphaltene and 6.4 wt % of polar species is studied as a function of time. The microscopic and the macroscopic mechanisms of diffusion are examined and discussed. At a microscopic scale, diffusion of crude oil within the clay interlayer space is a slow and a continuous process with the formation of O/W microemulsions within the d(001) space, which involves those crude oil polar molecules with tensoactive properties, interlayer water molecules, and the clay Na+ interlayer cations. At a macroscopic scale, the diffusion of the organic species is also a slow but stepped process. At the beginning, such a process is controlled by a concentration gradient (the Fick law) of crude oil species which diffuses into clay pellet, and it is followed by a viscous flow-type diffusion, when the compacted clay mineral pellet is surrounded by a thick O/W emulsion of crude oil, clay colloids, and water expulsed from the interlayer space."
22,Adsorption of petroleum organic compounds on natural Wyoming montmorillonite,A. Cosultchi;P. Bosch;V. Lara,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"Adsorption of petroleum organic compounds on natural Wyoming montmorillonite clay is an irreversible process, as most of organic species still remain adsorbed on mineral after aging. The process is conditioned by the petroleum paraffinic content and by molecules containing alkane chains, as only these type of compounds easy intercalate within the clay interlayer. Such adsorption also involves an irreversible displacement of part of the clay interlayer water. The partial dissolution of the clay matrix is indicated by XRD as an irreversible modification of the clay structure. On the contrary, adsorption of n-heptane or toluene molecules on the same clay are reversible processes, since the clay mineral recover its original crystalline structure after aging and evaporation of the organic species.Adsorption of petroleum organic compounds on natural Wyoming montmorillonite clay is an irreversible process, as most of organic species still remain adsorbed on mineral after aging. The process is conditioned by the petroleum paraffinic content and by molecules containing alkane chains, as only these type of compounds easy intercalate within the clay interlayer. Such adsorption also involves an irreversible displacement of part of the clay interlayer water. The partial dissolution of the clay matrix is indicated by XRD as an irreversible modification of the clay structure. On the contrary, adsorption of n-heptane or toluene molecules on the same clay are reversible processes, since the clay mineral recover its original crystalline structure after aging and evaporation of the organic species."
